weekNum,gameTimeEastern,homeID,homeTeam,visitorID,visitorTeam
1,9/5/13 20:30,DEN,Broncos,BAL,Ravens
1,9/8/13 13:00,BUF,Bills,NE,Patriots
1,9/8/13 13:00,CHI,Bears,CIN,Bengals
1,9/8/13 13:00,CLE,Browns,MIA,Dolphins
1,9/8/13 13:00,DET,Lions,MIN,Vikings
1,9/8/13 13:00,IND,Colts,OAK,Raiders
1,9/8/13 13:00,NO,Saints,ATL,Falcons
1,9/8/13 13:00,NYJ,Jets,TB,Buccaneers
1,9/8/13 13:00,PIT,Steelers,TEN,Titans
1,9/8/13 13:00,CAR,Panthers,SEA,Seahawks
1,9/8/13 13:00,JAX,Jaguars,KC,Chiefs
1,9/8/13 16:25,STL,Rams,ARI,Cardinals
1,9/8/13 16:25,SF,49ers,GB,Packers
1,9/8/13 20:30,DAL,Cowboys,NYG,Giants
1,9/9/13 19:00,WAS,Redskins,PHI,Eagles
1,9/9/13 22:15,SD,Chargers,HOU,Texans
2,9/12/13 20:25,NE,Patriots,NYJ,Jets
2,9/15/13 13:00,ATL,Falcons,STL,Rams
2,9/15/13 13:00,BUF,Bills,CAR,Panthers
2,9/15/13 13:00,CHI,Bears,MIN,Vikings
2,9/15/13 13:00,GB,Packers,WAS,Redskins
2,9/15/13 13:00,IND,Colts,MIA,Dolphins
2,9/15/13 13:00,KC,Chiefs,DAL,Cowboys
2,9/15/13 13:00,PHI,Eagles,SD,Chargers
2,9/15/13 13:00,BAL,Ravens,CLE,Browns
2,9/15/13 13:00,HOU,Texans,TEN,Titans
2,9/15/13 16:05,ARI,Cardinals,DET,Lions
2,9/15/13 16:05,TB,Buccaneers,NO,Saints
2,9/15/13 16:25,OAK,Raiders,JAX,Jaguars
2,9/15/13 16:25,NYG,Giants,DEN,Broncos
2,9/15/13 20:30,SEA,Seahawks,SF,49ers
2,9/16/13 20:30,CIN,Bengals,PIT,Steelers
3,9/19/13 20:25,PHI,Eagles,KC,Chiefs
3,9/22/13 13:00,CIN,Bengals,GB,Packers
3,9/22/13 13:00,DAL,Cowboys,STL,Rams
3,9/22/13 13:00,TEN,Titans,SD,Chargers
3,9/22/13 13:00,MIN,Vikings,CLE,Browns
3,9/22/13 13:00,NE,Patriots,TB,Buccaneers
3,9/22/13 13:00,NO,Saints,ARI,Cardinals
3,9/22/13 13:00,WAS,Redskins,DET,Lions
3,9/22/13 13:00,CAR,Panthers,NYG,Giants
3,9/22/13 13:00,BAL,Ravens,HOU,Texans
3,9/22/13 16:05,MIA,Dolphins,ATL,Falcons
3,9/22/13 16:25,NYJ,Jets,BUF,Bills
3,9/22/13 16:25,SF,49ers,IND,Colts
3,9/22/13 16:25,SEA,Seahawks,JAX,Jaguars
3,9/22/13 20:30,PIT,Steelers,CHI,Bears
3,9/23/13 20:30,DEN,Broncos,OAK,Raiders
4,9/26/13 20:25,STL,Rams,SF,49ers
4,9/29/13 13:00,BUF,Bills,BAL,Ravens
4,9/29/13 13:00,CLE,Browns,CIN,Bengals
4,9/29/13 13:00,DET,Lions,CHI,Bears
4,9/29/13 13:00,KC,Chiefs,NYG,Giants
4,9/29/13 13:00,MIN,Vikings,PIT,Steelers
4,9/29/13 13:00,TB,Buccaneers,ARI,Cardinals
4,9/29/13 13:00,JAX,Jaguars,IND,Colts
4,9/29/13 13:00,HOU,Texans,SEA,Seahawks
4,9/29/13 16:05,TEN,Titans,NYJ,Jets
4,9/29/13 16:25,DEN,Broncos,PHI,Eagles
4,9/29/13 16:25,OAK,Raiders,WAS,Redskins
4,9/29/13 16:25,SD,Chargers,DAL,Cowboys
4,9/29/13 20:30,ATL,Falcons,NE,Patriots
4,9/30/13 20:30,NO,Saints,MIA,Dolphins
5,10/3/13 20:25,CLE,Browns,BUF,Bills
5,10/6/13 13:00,CHI,Bears,NO,Saints
5,10/6/13 13:00,CIN,Bengals,NE,Patriots
5,10/6/13 13:00,GB,Packers,DET,Lions
5,10/6/13 13:00,TEN,Titans,KC,Chiefs
5,10/6/13 13:00,IND,Colts,SEA,Seahawks
5,10/6/13 13:00,STL,Rams,JAX,Jaguars
5,10/6/13 13:00,MIA,Dolphins,BAL,Ravens
5,10/6/13 13:00,NYG,Giants,PHI,Eagles
5,10/6/13 16:05,ARI,Cardinals,CAR,Panthers
5,10/6/13 16:25,DAL,Cowboys,DEN,Broncos
5,10/6/13 16:25,OAK,Raiders,SD,Chargers
5,10/6/13 20:30,SF,49ers,HOU,Texans
5,10/7/13 20:30,ATL,Falcons,NYJ,Jets
6,10/10/13 20:25,CHI,Bears,NYG,Giants
6,10/13/13 13:00,BUF,Bills,CIN,Bengals
6,10/13/13 13:00,CLE,Browns,DET,Lions
6,10/13/13 13:00,KC,Chiefs,OAK,Raiders
6,10/13/13 13:00,MIN,Vikings,CAR,Panthers
6,10/13/13 13:00,NYJ,Jets,PIT,Steelers
6,10/13/13 13:00,TB,Buccaneers,PHI,Eagles
6,10/13/13 13:00,BAL,Ravens,GB,Packers
6,10/13/13 13:00,HOU,Texans,STL,Rams
6,10/13/13 16:05,DEN,Broncos,JAX,Jaguars
6,10/13/13 16:05,SEA,Seahawks,TEN,Titans
6,10/13/13 16:25,NE,Patriots,NO,Saints
6,10/13/13 16:25,SF,49ers,ARI,Cardinals
6,10/13/13 20:30,DAL,Cowboys,WAS,Redskins
6,10/14/13 20:30,SD,Chargers,IND,Colts
