weekNum,gameTimeEastern,homeID,homeScore,visitorID,visitorScore
7,2014-10-19 20:30:00,DEN,null,SF,null
7,2014-10-20 20:30:00,PIT,null,HOU,null
8,2014-10-23 20:25:00,DEN,null,SD,null
8,2014-10-26 9:30:00,ATL,null,DET,null
8,2014-10-26 13:00:00,CIN,null,BAL,null
8,2014-10-26 13:00:00,TEN,null,HOU,null
8,2014-10-26 13:00:00,KC,null,STL,null
8,2014-10-26 13:00:00,NE,null,CHI,null
8,2014-10-26 13:00:00,NYJ,null,BUF,null
8,2014-10-26 13:00:00,TB,null,MIN,null
8,2014-10-26 13:00:00,CAR,null,SEA,null
8,2014-10-26 13:00:00,JAX,null,MIA,null
8,2014-10-26 16:05:00,ARI,null,PHI,null
8,2014-10-26 16:25:00,CLE,null,OAK,null
8,2014-10-26 16:25:00,PIT,null,IND,null
8,2014-10-26 20:30:00,NO,null,GB,null
8,2014-10-27 20:30:00,DAL,null,WAS,null
9,2014-10-30 20:25:00,CAR,null,NO,null
9,2014-11-2 13:00:00,CIN,null,JAX,null
9,2014-11-2 13:00:00,CLE,null,TB,null
9,2014-11-2 13:00:00,DAL,null,ARI,null
9,2014-11-2 13:00:00,KC,null,NYJ,null
9,2014-11-2 13:00:00,MIA,null,SD,null
9,2014-11-2 13:00:00,MIN,null,WAS,null
9,2014-11-2 13:00:00,HOU,null,PHI,null
9,2014-11-2 16:05:00,SF,null,STL,null
9,2014-11-2 16:25:00,NE,null,DEN,null
9,2014-11-2 16:25:00,SEA,null,OAK,null
9,2014-11-2 20:30:00,PIT,null,BAL,null
9,2014-11-3 20:30:00,NYG,null,IND,null
10,2014-11-6 20:25:00,CIN,null,CLE,null
10,2014-11-9 13:00:00,BUF,null,KC,null
10,2014-11-9 13:00:00,DET,null,MIA,null
10,2014-11-9 13:00:00,NO,null,SF,null
10,2014-11-9 13:00:00,NYJ,null,PIT,null
10,2014-11-9 13:00:00,TB,null,ATL,null
10,2014-11-9 13:00:00,JAX,null,DAL,null
10,2014-11-9 13:00:00,BAL,null,TEN,null
10,2014-11-9 16:05:00,OAK,null,DEN,null
10,2014-11-9 16:25:00,ARI,null,STL,null
10,2014-11-9 16:25:00,SEA,null,NYG,null
10,2014-11-9 20:30:00,GB,null,CHI,null
10,2014-11-10 20:30:00,PHI,null,CAR,null
11,2014-11-13 20:25:00,MIA,null,BUF,null
11,2014-11-16 13:00:00,CHI,null,MIN,null
11,2014-11-16 13:00:00,CLE,null,HOU,null
