weekNum,gameTimeEastern,homeID,homeTeam,visitorID,visitorTeam
1,9/8/2011 20:30:00,GB,Packers,NO,Saints
1,9/11/2011 13:00:00,HOU,Texans,IND,Colts
1,9/11/2011 13:00:00,BAL,Ravens,PIT,Steelers
1,9/11/2011 13:00:00,JAX,Jaguars,TEN,Titans
1,9/11/2011 13:00:00,TB,Buccaneers,DET,Lions
1,9/11/2011 13:00:00,STL,Rams,PHI,Eagles
1,9/11/2011 13:00:00,KC,Chiefs,BUF,Bills
1,9/11/2011 13:00:00,CLE,Browns,CIN,Bengals
1,9/11/2011 13:00:00,CHI,Bears,ATL,Falcons
1,9/11/2011 16:15:00,WAS,Redskins,NYG,Giants
1,9/11/2011 16:15:00,SF,49ers,SEA,Seahawks
1,9/11/2011 16:15:00,SD,Chargers,MIN,Vikings
1,9/11/2011 16:15:00,ARI,Cardinals,CAR,Panthers
1,9/11/2011 20:20:00,NYJ,Jets,DAL,Cowboys
1,9/12/2011 19:00:00,MIA,Dolphins,NE,Patriots
1,9/12/2011 22:15:00,DEN,Broncos,OAK,Raiders
2,9/18/2011 13:00:00,NYJ,Jets,JAX,Jaguars
2,9/18/2011 13:00:00,PIT,Steelers,SEA,Seahawks
2,9/18/2011 13:00:00,WAS,Redskins,ARI,Cardinals
2,9/18/2011 13:00:00,CAR,Panthers,GB,Packers
2,9/18/2011 13:00:00,NO,Saints,CHI,Bears
2,9/18/2011 13:00:00,MIN,Vikings,TB,Buccaneers
2,9/18/2011 13:00:00,IND,Colts,CLE,Browns
2,9/18/2011 13:00:00,TEN,Titans,BAL,Ravens
2,9/18/2011 13:00:00,DET,Lions,KC,Chiefs
2,9/18/2011 13:00:00,BUF,Bills,OAK,Raiders
2,9/18/2011 16:05:00,SF,49ers,DAL,Cowboys
2,9/18/2011 16:15:00,NE,Patriots,SD,Chargers
2,9/18/2011 16:15:00,MIA,Dolphins,HOU,Texans
2,9/18/2011 16:15:00,DEN,Broncos,CIN,Bengals
2,9/18/2011 20:20:00,ATL,Falcons,PHI,Eagles
2,9/19/2011 20:30:00,NYG,Giants,STL,Rams
3,9/25/2011 13:00:00,CAR,Panthers,JAX,Jaguars
3,9/25/2011 13:00:00,PHI,Eagles,NYG,Giants
3,9/25/2011 13:00:00,NO,Saints,HOU,Texans
3,9/25/2011 13:00:00,MIN,Vikings,DET,Lions
3,9/25/2011 13:00:00,TEN,Titans,DEN,Broncos
3,9/25/2011 13:00:00,CLE,Browns,MIA,Dolphins
3,9/25/2011 13:00:00,CIN,Bengals,SF,49ers
3,9/25/2011 13:00:00,BUF,Bills,NE,Patriots
3,9/25/2011 16:05:00,OAK,Raiders,NYJ,Jets
3,9/25/2011 16:05:00,STL,Rams,BAL,Ravens
3,9/25/2011 16:05:00,SD,Chargers,KC,Chiefs
3,9/25/2011 16:15:00,TB,Buccaneers,ATL,Falcons
3,9/25/2011 16:15:00,SEA,Seahawks,ARI,Cardinals
3,9/25/2011 16:15:00,CHI,Bears,GB,Packers
3,9/25/2011 20:20:00,IND,Colts,PIT,Steelers
3,9/26/2011 20:30:00,DAL,Cowboys,WAS,Redskins
4,10/2/2011 13:00:00,HOU,Texans,PIT,Steelers
4,10/2/2011 13:00:00,JAX,Jaguars,NO,Saints
4,10/2/2011 13:00:00,PHI,Eagles,SF,49ers
4,10/2/2011 13:00:00,STL,Rams,WAS,Redskins
4,10/2/2011 13:00:00,KC,Chiefs,MIN,Vikings
4,10/2/2011 13:00:00,DAL,Cowboys,DET,Lions
4,10/2/2011 13:00:00,CLE,Browns,TEN,Titans
4,10/2/2011 13:00:00,CIN,Bengals,BUF,Bills
4,10/2/2011 13:00:00,CHI,Bears,CAR,Panthers
4,10/2/2011 16:05:00,ARI,Cardinals,NYG,Giants
4,10/2/2011 16:05:00,SEA,Seahawks,ATL,Falcons
4,10/2/2011 16:15:00,SD,Chargers,MIA,Dolphins
4,10/2/2011 16:15:00,OAK,Raiders,NE,Patriots
4,10/2/2011 16:15:00,GB,Packers,DEN,Broncos
4,10/2/2011 20:20:00,BAL,Ravens,NYJ,Jets
4,10/3/2011 20:30:00,TB,Buccaneers,IND,Colts
5,10/9/2011 13:00:00,HOU,Texans,OAK,Raiders
5,10/9/2011 13:00:00,JAX,Jaguars,CIN,Bengals
5,10/9/2011 13:00:00,CAR,Panthers,NO,Saints
5,10/9/2011 13:00:00,PIT,Steelers,TEN,Titans
5,10/9/2011 13:00:00,NYG,Giants,SEA,Seahawks
5,10/9/2011 13:00:00,MIN,Vikings,ARI,Cardinals
5,10/9/2011 13:00:00,IND,Colts,KC,Chiefs
5,10/9/2011 13:00:00,BUF,Bills,PHI,Eagles
5,10/9/2011 16:05:00,SF,49ers,TB,Buccaneers
5,10/9/2011 16:15:00,NE,Patriots,NYJ,Jets
5,10/9/2011 16:15:00,DEN,Broncos,SD,Chargers
5,10/9/2011 20:20:00,ATL,Falcons,GB,Packers
5,10/10/2011 20:30:00,DET,Lions,CHI,Bears
6,10/16/2011 13:00:00,WAS,Redskins,PHI,Eagles
6,10/16/2011 13:00:00,PIT,Steelers,JAX,Jaguars
6,10/16/2011 13:00:00,NYG,Giants,BUF,Bills
6,10/16/2011 13:00:00,GB,Packers,STL,Rams
6,10/16/2011 13:00:00,DET,Lions,SF,49ers
6,10/16/2011 13:00:00,CIN,Bengals,IND,Colts
6,10/16/2011 13:00:00,ATL,Falcons,CAR,Panthers
6,10/16/2011 16:05:00,OAK,Raiders,CLE,Browns
6,10/16/2011 16:05:00,BAL,Ravens,HOU,Texans
6,10/16/2011 16:15:00,NE,Patriots,DAL,Cowboys
6,10/16/2011 16:15:00,TB,Buccaneers,NO,Saints
6,10/16/2011 20:20:00,CHI,Bears,MIN,Vikings
6,10/17/2011 20:30:00,NYJ,Jets,MIA,Dolphins
7,10/23/2011 13:00:00,CLE,Browns,SEA,Seahawks
7,10/23/2011 13:00:00,DET,Lions,ATL,Falcons
7,10/23/2011 13:00:00,TEN,Titans,HOU,Texans
7,10/23/2011 13:00:00,MIA,Dolphins,DEN,Broncos
7,10/23/2011 13:00:00,NYJ,Jets,SD,Chargers
7,10/23/2011 13:00:00,TB,Buccaneers,CHI,Bears
7,10/23/2011 13:00:00,CAR,Panthers,WAS,Redskins
7,10/23/2011 16:05:00,ARI,Cardinals,PIT,Steelers
7,10/23/2011 16:05:00,OAK,Raiders,KC,Chiefs
7,10/23/2011 16:15:00,DAL,Cowboys,STL,Rams
7,10/23/2011 16:15:00,MIN,Vikings,GB,Packers
7,10/23/2011 20:20:00,NO,Saints,IND,Colts
7,10/24/2011 20:30:00,JAX,Jaguars,BAL,Ravens
8,10/30/2011 13:00:00,HOU,Texans,JAX,Jaguars
8,10/30/2011 13:00:00,BAL,Ravens,ARI,Cardinals
8,10/30/2011 13:00:00,CAR,Panthers,MIN,Vikings
8,10/30/2011 13:00:00,NYG,Giants,MIA,Dolphins
8,10/30/2011 13:00:00,STL,Rams,NO,Saints
8,10/30/2011 13:00:00,TEN,Titans,IND,Colts
8,10/30/2011 16:05:00,BUF,Bills,WAS,Redskins
8,10/30/2011 16:05:00,DEN,Broncos,DET,Lions
