weekNum,gameTimeEastern,homeID,homeTeam,visitorID,visitorTeam
"7","2010-10-24 13:00:00","TEN","Titans","PHI","Eagles",
"7","2010-10-24 13:00:00","KC","Chiefs","JAX","Jaguars",
"7","2010-10-24 13:00:00","MIA","Dolphins","PIT","Steelers",
"7","2010-10-24 13:00:00","NO","Saints","CLE","Browns",
"7","2010-10-24 13:00:00","TB","Buccaneers","STL","Rams",
"7","2010-10-24 13:00:00","CAR","Panthers","SF","49ers",
"7","2010-10-24 13:00:00","BAL","Ravens","BUF","Bills",
"7","2010-10-24 16:05:00","SEA","Seahawks","ARI","Cardinals",
"7","2010-10-24 16:15:00","DEN","Broncos","OAK","Raiders",
"7","2010-10-24 16:15:00","SD","Chargers","NE","Patriots",
"7","2010-10-24 20:20:00","GB","Packers","MIN","Vikings",
"7","2010-10-25 20:30:00","DAL","Cowboys","NYG","Giants",
"8","2010-10-31 13:00:00","CIN","Bengals","MIA","Dolphins",
"8","2010-10-31 13:00:00","DAL","Cowboys","JAX","Jaguars",
"8","2010-10-31 13:00:00","DET","Lions","WAS","Redskins",
"8","2010-10-31 13:00:00","KC","Chiefs","BUF","Bills",
"8","2010-10-31 13:00:00","STL","Rams","CAR","Panthers",
"8","2010-10-31 13:00:00","NYJ","Jets","GB","Packers",
"8","2010-10-31 13:00:00","SF","49ers","DEN","Broncos",
"8","2010-10-31 16:05:00","SD","Chargers","TEN","Titans",
"8","2010-10-31 16:15:00","OAK","Raiders","SEA","Seahawks",
"8","2010-10-31 16:15:00","NE","Patriots","MIN","Vikings",
"8","2010-10-31 16:15:00","ARI","Cardinals","TB","Buccaneers",
"8","2010-10-31 20:20:00","NO","Saints","PIT","Steelers",
"8","2010-11-01 20:30:00","IND","Colts","HOU","Texans",
"9","2010-11-07 13:00:00","ATL","Falcons","TB","Buccaneers",
"9","2010-11-07 13:00:00","BUF","Bills","CHI","Bears",
"9","2010-11-07 13:00:00","CLE","Browns","NE","Patriots",
"9","2010-11-07 13:00:00","DET","Lions","NYJ","Jets",
"9","2010-11-07 13:00:00","MIN","Vikings","ARI","Cardinals",
"9","2010-11-07 13:00:00","CAR","Panthers","NO","Saints",
"9","2010-11-07 13:00:00","BAL","Ravens","MIA","Dolphins",
"9","2010-11-07 13:00:00","HOU","Texans","SD","Chargers",
"9","2010-11-07 16:05:00","SEA","Seahawks","NYG","Giants",
"9","2010-11-07 16:15:00","OAK","Raiders","KC","Chiefs",
"9","2010-11-07 16:15:00","PHI","Eagles","IND","Colts",
"9","2010-11-07 20:20:00","GB","Packers","DAL","Cowboys",
"9","2010-11-08 20:30:00","CIN","Bengals","PIT","Steelers",
"10","2010-11-11 20:20:00","ATL","Falcons","BAL","Ravens",
"10","2010-11-14 13:00:00","BUF","Bills","DET","Lions",
"10","2010-11-14 13:00:00","CHI","Bears","MIN","Vikings",
"10","2010-11-14 13:00:00","CLE","Browns","NYJ","Jets",
"10","2010-11-14 13:00:00","IND","Colts","CIN","Bengals",
"10","2010-11-14 13:00:00","MIA","Dolphins","TEN","Titans",
"10","2010-11-14 13:00:00","TB","Buccaneers","CAR","Panthers",
"10","2010-11-14 13:00:00","JAX","Jaguars","HOU","Texans",
"10","2010-11-14 16:05:00","DEN","Broncos","KC","Chiefs",
"10","2010-11-14 16:15:00","NYG","Giants","DAL","Cowboys",
"10","2010-11-14 16:15:00","ARI","Cardinals","SEA","Seahawks",
"10","2010-11-14 16:15:00","SF","49ers","STL","Rams",
"10","2010-11-14 20:20:00","PIT","Steelers","NE","Patriots",
"10","2010-11-15 20:30:00","WAS","Redskins","PHI","Eagles",
"11","2010-11-18 20:20:00","MIA","Dolphins","CHI","Bears",
"11","2010-11-21 13:00:00","CIN","Bengals","BUF","Bills",
"11","2010-11-21 13:00:00","DAL","Cowboys","DET","Lions",
"11","2010-11-21 13:00:00","TEN","Titans","WAS","Redskins",
"11","2010-11-21 13:00:00","KC","Chiefs","ARI","Cardinals",
"11","2010-11-21 13:00:00","MIN","Vikings","GB","Packers",
"11","2010-11-21 13:00:00","NYJ","Jets","HOU","Texans",
"11","2010-11-21 13:00:00","PIT","Steelers","OAK","Raiders",
"11","2010-11-21 13:00:00","CAR","Panthers","BAL","Ravens",
"11","2010-11-21 13:00:00","JAX","Jaguars","CLE","Browns",
"11","2010-11-21 16:05:00","STL","Rams","ATL","Falcons",
"11","2010-11-21 16:05:00","NO","Saints","SEA","Seahawks",
"11","2010-11-21 16:05:00","SF","49ers","TB","Buccaneers",
"11","2010-11-21 16:15:00","NE","Patriots","IND","Colts",
"11","2010-11-21 20:20:00","PHI","Eagles","NYG","Giants",
"11","2010-11-22 20:30:00","SD","Chargers","DEN","Broncos",
"12","2010-11-25 12:30:00","DET","Lions","NE","Patriots",
"12","2010-11-25 16:15:00","DAL","Cowboys","NO","Saints",
"12","2010-11-25 20:20:00","NYJ","Jets","CIN","Bengals",
"12","2010-11-28 13:00:00","ATL","Falcons","GB","Packers",
"12","2010-11-28 13:00:00","BUF","Bills","PIT","Steelers",
"12","2010-11-28 13:00:00","CHI","Bears","PHI","Eagles",
"12","2010-11-28 13:00:00","CLE","Browns","CAR","Panthers",
"12","2010-11-28 13:00:00","NYG","Giants","JAX","Jaguars",
"12","2010-11-28 13:00:00","WAS","Redskins","MIN","Vikings",
"12","2010-11-28 13:00:00","BAL","Ravens","TB","Buccaneers",
"12","2010-11-28 13:00:00","HOU","Texans","TEN","Titans",
"12","2010-11-28 16:05:00","OAK","Raiders","MIA","Dolphins",
"12","2010-11-28 16:05:00","SEA","Seahawks","KC","Chiefs",
"12","2010-11-28 16:15:00","DEN","Broncos","STL","Rams",
"12","2010-11-28 20:20:00","IND","Colts","SD","Chargers",
"12","2010-11-29 20:30:00","ARI","Cardinals","SF","49ers",
"13","2010-12-02 20:20:00","PHI","Eagles","HOU","Texans",
"13","2010-12-05 13:00:00","CIN","Bengals","NO","Saints",
"13","2010-12-05 13:00:00","DET","Lions","CHI","Bears",
"13","2010-12-05 13:00:00","GB","Packers","SF","49ers",
"13","2010-12-05 13:00:00","TEN","Titans","JAX","Jaguars",
"13","2010-12-05 13:00:00","KC","Chiefs","DEN","Broncos",
"13","2010-12-05 13:00:00","MIA","Dolphins","CLE","Browns",
"13","2010-12-05 13:00:00","MIN","Vikings","BUF","Bills",
"13","2010-12-05 13:00:00","NYG","Giants","WAS","Redskins",
"13","2010-12-05 13:00:00","TB","Buccaneers","ATL","Falcons",
"13","2010-12-05 16:05:00","SD","Chargers","OAK","Raiders",
"13","2010-12-05 16:15:00","IND","Colts","DAL","Cowboys",
"13","2010-12-05 16:15:00","ARI","Cardinals","STL","Rams",
"13","2010-12-05 16:15:00","SEA","Seahawks","CAR","Panthers",
"13","2010-12-05 20:20:00","BAL","Ravens","PIT","Steelers",
"13","2010-12-06 20:30:00","NE","Patriots","NYJ","Jets",
"14","2010-12-09 20:20:00","TEN","Titans","IND","Colts",
"14","2010-12-12 13:00:00","BUF","Bills","CLE","Browns",
"14","2010-12-12 13:00:00","CHI","Bears","NE","Patriots",
"14","2010-12-12 13:00:00","DET","Lions","GB","Packers",
"14","2010-12-12 13:00:00","MIN","Vikings","NYG","Giants",
"14","2010-12-12 13:00:00","PIT","Steelers","CIN","Bengals",
"14","2010-12-12 13:00:00","WAS","Redskins","TB","Buccaneers",
"14","2010-12-12 13:00:00","CAR","Panthers","ATL","Falcons",
"14","2010-12-12 13:00:00","JAX","Jaguars","OAK","Raiders",
